"The Woman in Black","tt1596365"
"2-Headed Shark Attack","tt2043757"
"The Umbrella Academy","tt1312171"
"The Gray Man","tt1649418"
"Limitless","tt1219289"
"The Color Purple","tt0088939"
"Poseidon","tt0409182"
"The League of Extraordinary Gentlemen","tt0311429"
"1917","tt8579674"
"Resident Evil","tt9660182"
"Point Blank","tt0062138"
"A Christmas Carol","tt1067106"
"Strangers with Candy","tt0369994"
"The Brothers Grimsby","tt3381008"
"The Simpsons Movie","tt0462538"
"Event Horizon","tt0119081"
"12 Monkeys","tt0114746"
"Don Jon","tt2229499"
"The Age of Adaline","tt1655441"
"Die Hard","tt0095016"
"Fight Club","tt0137523"
"The Adam Project","tt2463208"
"Psycho","tt0054215"
"Dressed to Kill","tt0080661"
"Rogue One: A Star Wars Story","tt3748528"
"Fight Club","tt0137523"
"Salt","tt0944835"
"Ulysses' Gaze","tt0114863"
"Easy A","tt1282140"
"Kinky Boots","tt0434124"
"Knowing","tt0448011"
"The Wolf of Wall Street","tt0993846"
"The Man from Earth","tt0756683"
"The Truman Show","tt0120382"
"Vikings","tt2306299"
"Slumdog Millionaire","tt1010048"
"Live and Let Die","tt0070328"
"Inglourious Basterds","tt0361748"
"Miami Vice","tt0430357"
"The Lost City of Z","tt1212428"
"Toy Story 2","tt0120363"
"The Last Mimzy","tt0768212"
"The Wolf Man","tt0034398"
"Pale Rider","tt0089767"
"X-Men Origins: Wolverine","tt0458525"
"The Incredibles","tt0317705"
"Brooklyn Nine-Nine","tt2467372"
"Inglourious Basterds","tt0361748"
"Zola","tt5439812"
"The Mummy Returns","tt0209163"
"Man of Steel","tt0770828"
"An American Werewolf in London","tt0082010"
"Taxi Driver","tt0075314"
"Fallen","tt0119099"
"The Dark Knight","tt0468569"
"Joker","tt7286456"
"Requiem for a Dream","tt0180093"
"The Bourne Supremacy","tt0372183"
"Spider-Man 2","tt0316654"
"The Crazy Ones","tt2710104"
"Freddy's Dead: The Final Nightmare","tt0101917"
"Chinatown","tt0071315"
"Serendipity","tt0240890"
"Freaks and Geeks","tt0193676"
"Ransom","tt0117438"
"Indiana Jones and the Last Crusade","tt0097576"
"Wheelman","tt5723286"
"Hush","tt5022702"
"Event Horizon","tt0119081"
"Chernobyl","tt7366338"
"Lucifer","tt4052886"
"The Way Way Back","tt1727388"
"Papillon","tt0070511"
"No Way Out","tt0093640"
"Sin City","tt0401792"
"The Wolf of Wall Street","tt0993846"
"Vinyl","tt3186130"
"The Grand Budapest Hotel","tt2278388"
"Squid Game","tt10919420"
"The Right Stuff","tt0086197"
"Anger Management","tt0305224"
"Life of Pi","tt0454876"
"Doctor Strange","tt1211837"
"The Princess Bride","tt0093779"
"I Am Sam","tt0277027"
"Twilight","tt1099212"
"Rogue Heroes","tt10405370"
"Sweeney Todd: The Demon Barber of Fleet Street","tt0408236"
"American Animals","tt6212478"
"Sleepers","tt0117665"
"True Romance","tt0108399"
"The 5th Wave","tt2304933"
"Falling Inn Love","tt9860728"
"Ferris Bueller's Day Off","tt0091042"
"Day for Night","tt0070460"
"Wonder Woman 1984","tt7126948"
"Lucifer","tt4052886"
"Bedknobs and Broomsticks","tt0066817"
"Mars Attacks!","tt0116996"
"Mission: Impossible - Ghost Protocol","tt1229238"
"The Forever Purge","tt10327252"
"The Last of the Mohicans","tt0104691"
"See How They Run","tt13640696"
"Sherlock Jr.","tt0015324"
"Annihilation","tt2798920"
"Parks and Recreation","tt1266020"
"Peppermint","tt6850820"
"The Walking Dead","tt1520211"
"Flowers in the Attic","tt0093036"
"Fringe","tt1119644"
"After the Storm","tt5294966"
"The Proposal","tt1041829"
"The Girl on the Train","tt3631112"
"Lake Placid","tt0139414"
"Vacation Friends","tt3626476"
"Die Hard with a Vengeance","tt0112864"
"My Big Fat Greek Wedding 2","tt3760922"
"Cobra Kai","tt7221388"
"Flags of Our Fathers","tt0418689"
"Doctor Strange","tt1211837"
"Marie Antoinette","tt0422720"
"The Thomas Crown Affair","tt0155267"
"The Insider","tt0140352"
"ABQ","tt1232248"
"Aliens","tt0090605"
"Pirates of the Caribbean: Dead Men Tell No Tales","tt1790809"
"Ghostbusters: Afterlife","tt4513678"
"Finding Nemo","tt0266543"
"Snatch","tt0208092"
"The Sons of Katie Elder","tt0059740"
"Up Close & Personal","tt0118055"
"Godzilla","tt0831387"
"The Brothers Grimsby","tt3381008"
"Man on Wire","tt1155592"
"Bullet Train","tt12593682"
"The Departed","tt0407887"
"Puss in Boots: The Last Wish","tt3915174"
"Ant-Man and the Wasp: Quantumania","tt10954600"
"The Dictator","tt1645170"
"Death Note","tt0877057"
"Made of Honor","tt0866439"
"Resident Evil","tt0120804"
"The Lord of the Rings: The Rings of Power","tt7631058"
"Kai Po Che","tt2213054"
"First Reformed","tt6053438"
"In the Name of the Father","tt0107207"
"Kantara","tt15327088"
"Part IV","tt13840902"
"Sacred Games","tt6077448"
"Planet of the Apes","tt0133152"
"Harry Potter and the Order of the Phoenix","tt0373889"
"Team America: World Police","tt0372588"
"Inglourious Basterds","tt0361748"
"The Bells","tt6027916"
"Breakfast at Tiffany's","tt0054698"
"Men in Black 3","tt1409024"
"American Hustle","tt1800241"
"Sweet Home Alabama","tt0256415"
"Thirteen Days","tt0146309"
"Sicario","tt3397884"
"Fantastic Four","tt0120667"
"The Terminal","tt0362227"
"Free Churro","tt8266826"
"The Wave","tt1063669"
"Vicky Cristina Barcelona","tt0497465"
"The Evil Dead","tt0083907"
"The Avengers","tt0118661"
"Bucky Larson: Born to Be a Star","tt1411664"
"Trance","tt1924429"
"Blue Mountain State","tt1344204"
"10,000 BC","tt0443649"
"Bridget Jones: The Edge of Reason","tt0317198"
"Aquamarine","tt0429591"
"The Quiet American","tt0258068"
"S.W.A.T.","tt0257076"
"Straw Dogs","tt0067800"
"The Fountain","tt0414993"
"Babel","tt0449467"
"Zodiac","tt0443706"
"Chocolat","tt0241303"
"Fear Street: Part One - 1994","tt6566576"
"The Cloverfield Paradox","tt2548396"
"Old","tt10954652"
"Trapped","tt0280380"
"I Am Number Four","tt1464540"
"The King of Kong: A Fistful of Quarters","tt0923752"
"The Girl with the Dragon Tattoo","tt1568346"
"My Big Fat Greek Wedding","tt0259446"
"2010: The Year We Make Contact","tt0086837"
"My Left Foot","tt0097937"
"Oscar","tt0062083"
"Star Wars: Episode II - Attack of the Clones","tt0121765"
"The Gift","tt4178092"
"City of Women","tt0080539"
"The Curious Case of Benjamin Button","tt0421715"
"Demolition Man","tt0106697"
"Lost","tt0411008"
"The Boat That Rocked","tt1131729"
"Human Capital","tt2465578"
"A History of Violence","tt0399146"
"Fight Club","tt0137523"
"Back to the Future","tt0088763"
"Live Flesh","tt0118819"
"Notting Hill","tt0125439"
"Giant","tt0049261"
"Cashback","tt0460740"
"Summerland","tt6841122"
"The Chorus","tt0372824"
"Dilwale Dulhania Le Jayenge","tt0112870"
"Takers","tt1135084"
"The Sopranos","tt0141842"
"Band of Brothers","tt0185906"
"From You, 2000 Years Ago","tt17594170"
"Parks and Recreation","tt1266020"
"Devs","tt8134186"
"The Gift","tt0219699"
"Honey, I Shrunk the Kids","tt0097523"
"The Forbidden Kingdom","tt0865556"
"Forrest Gump","tt0109830"
"Charlie St. Cloud","tt1438254"
"Sinister","tt1922777"
"Heat","tt0113277"
"Meatballs","tt0079540"
"The Illusionist","tt0443543"
